Dataset Name,Activity Type,Emission Resource
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-245cb2
IPCC AR6 2022,Direct Emissions - Other Gases,"1,3,3,4,4,5,5-heptafluorocyclopentene"
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFO-1233zd(Z)
IPCC AR6 2022,Direct Emissions - Other Gases,"3,3,4,4-tetrafluorocyclobutene"
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-329p
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-236fa
IPCC AR6 2022,Direct Emissions - Other Gases,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodec-1-ene"
IPCC AR6 2022,Direct Emissions - Other Gases,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooct-1-ene"
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-143
IPCC AR6 2022,Direct Emissions - Other Gases,PFC-218
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1336mzz(Z)
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-263fb
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-365mcf3
IPCC AR6 2022,Direct Emissions - Other Gases,Chloroform
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1225ye(E)
IPCC AR6 2022,Direct Emissions - Other Gases,"(4s,5s)-1,1,2,2,3,3,4,5-octafluorocyclopentane"
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,2,3,4,4-hexafluorobuta-1,3-diene"
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1243zf
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-132a
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-122a
IPCC AR6 2022,Direct Emissions - Other Gases,PFC-14
IPCC AR6 2022,Direct Emissions - Other Gases,Ethane
IPCC AR6 2022,Direct Emissions - Other Gases,"2,2-difluoroethanol"
IPCC AR6 2022,Direct Emissions - Other Gases,Perfluorotripentylamine
IPCC AR6 2022,Direct Emissions - Other Gases,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoroundecan-1-ol"
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1132a
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-227ea
IPCC AR6 2022,Direct Emissions - Other Gases,"2,2,3,3,4,4,4-heptafluorobutan-1-ol"
IPCC AR6 2022,Direct Emissions - Other Gases,HCFE-236ea2
IPCC AR6 2022,Direct Emissions - Other Gases,PFC-61-16
IPCC AR6 2022,Direct Emissions - Other Gases,Propane
IPCC AR6 2022,Direct Emissions - Other Gases,Heptacosafluorotributylamine
IPCC AR6 2022,Direct Emissions - Other Gases,Perfluoroethyl formate
IPCC AR6 2022,Direct Emissions - Other Gases,Z-R316c
IPCC AR6 2022,Direct Emissions - Refrigerants,CFC-115 / R-115
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-123 / R-123
IPCC AR6 2022,Direct Emissions - Refrigerants,CFC-113 / R-113
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,2,2,3,3-hexafluorocyclopentane"
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-41
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-121
IPCC AR6 2022,Direct Emissions - Other Gases,Hexafluorocyclobutene
IPCC AR6 2022,Direct Emissions - Other Gases,Methyl-perfluoroheptene-ethers
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-21 / R-21
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-125
IPCC AR6 2022,Direct Emissions - Other Gases,i-HFE-7200
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-122
IPCC AR6 2022,Direct Emissions - Other Gases,2-fluoroethanol
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-133a
IPCC AR6 2022,Direct Emissions - Other Gases,CO2
IPCC AR6 2022,Direct Emissions - Other Gases,Ethyl methyl ether
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-245fa2
IPCC AR6 2022,Direct Emissions - Other Gases,PFC-116
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-245fa
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-125
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-236fa
IPCC AR6 2022,Direct Emissions - Other Gases,Fluroxene
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-263mf
IPCC AR6 2022,Direct Emissions - Other Gases,Octamethylcyclotetrasiloxane
IPCC AR6 2022,Direct Emissions - Other Gases,Difluoro(methoxy)methane
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1234yf
IPCC AR6 2022,Direct Emissions - Refrigerants,R-744 (CO2)
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-356mff2
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-227ca
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-347mmy1
IPCC AR6 2022,Direct Emissions - Other Gases,Chloroethane
IPCC AR6 2022,Direct Emissions - Other Gases,Sulfuryl fluoride
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-329me3
IPCC AR6 2022,Direct Emissions - Other Gases,2-methylpentan-3-one
IPCC AR6 2022,Direct Emissions - Other Gases,Hexamethylcyclotrisiloxane
IPCC AR6 2022,Direct Emissions - Other Gases,"2-ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan"
IPCC AR6 2022,Direct Emissions - Other Gases,Octafluoro-2-buene
IPCC AR6 2022,Direct Emissions - Other Gases,HG-02
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-338mcf2
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-161
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1225ye(Z)
IPCC AR6 2022,Direct Emissions - Other Gases,Butane
IPCC AR6 2022,Direct Emissions - Refrigerants,Methylene chloride / R-30
IPCC AR6 2022,Direct Emissions - Other Gases,HCFE-235ca2
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-143a
IPCC AR6 2022,Direct Emissions - Other Gases,Halon-2301
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-569sf2
IPCC AR6 2022,Direct Emissions - Other Gases,"Methyl 2,2,2-trifluoroacetate"
IPCC AR6 2022,Direct Emissions - Other Gases,"3,3,3-trifluoropropan-1-ol"
IPCC AR6 2022,Direct Emissions - Other Gases,"1,3,3,4,4-pentafluorocyclobutene"
IPCC AR6 2022,Direct Emissions - Other Gases,CH4
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,2,2-tetrafluoro-3-methoxypropane"
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-225ca
IPCC AR6 2022,Direct Emissions - Refrigerants,CFC-11 / R-11
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-236cb
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-356pcf2
IPCC AR6 2022,Direct Emissions - Other Gases,"3,3,3-trifluoropropanal"
IPCC AR6 2022,Direct Emissions - Refrigerants,Methyl chloride / R-40
IPCC AR6 2022,Direct Emissions - Other Gases,"3,3,4,4,5,5,6,6,7,7,7-undecafluoroheptan-1-ol"
MX RENE 2022,Electricity: Location-based,Electricity: Mexico
MX RENE 2022,Electricity: Market-based (non-renewable),Electricity: Mexico
NZ Gov 2022,Business Travel,Diesel rental car
NZ Gov 2022,Use of Sold Products,Water supply
NZ Gov 2022,Stationary Combustion Sources - Heat Generation,Natural gas 
NZ Gov 2022,Mobile Combustion Sources - Leased / Owned,Aviation Fuel (Kerosene) Jet A1
NZ Gov 2022,Employee Commuting,Work from Home 
NZ Gov 2022,Mobile Combustion Sources - Leased / Owned,Diesel
NZ Gov 2022,Business Travel,Hotel stay - New Zealand
